date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-28 00:15:15,81.3 nAVAX,81.4 nAVAX,82.9 nAVAX,1254 Txns,17 Txns,45.33%
2022-03-28 00:15:33,81.3 nAVAX,81.8 nAVAX,83.8 nAVAX,1238 Txns,25 Txns,45.35%
2022-03-28 00:15:51,80.4 nAVAX,80.4 nAVAX,80.9 nAVAX,1255 Txns,22 Txns,45.33%
2022-03-28 00:16:10,79.8 nAVAX,79.8 nAVAX,80.3 nAVAX,1227 Txns,17 Txns,45.33%
2022-03-28 00:16:28,76.6 nAVAX,76.6 nAVAX,77.1 nAVAX,1232 Txns,21 Txns,45.32%
2022-03-28 00:16:46,75.9 nAVAX,75.9 nAVAX,76.4 nAVAX,1210 Txns,21 Txns,45.32%
2022-03-28 00:17:05,74.3 nAVAX,74.3 nAVAX,74.8 nAVAX,1199 Txns,22 Txns,45.32%
2022-03-28 00:17:24,73.7 nAVAX,74.6 nAVAX,75.1 nAVAX,1231 Txns,18 Txns,45.29%
2022-03-28 00:17:42,75.7 nAVAX,76.6 nAVAX,78.1 nAVAX,1215 Txns,16 Txns,45.29%
2022-03-28 00:18:00,74.2 nAVAX,75.6 nAVAX,75.6 nAVAX,1200 Txns,19 Txns,45.28%
2022-03-28 00:18:18,72.8 nAVAX,73.1 nAVAX,73.6 nAVAX,1204 Txns,19 Txns,45.33%
2022-03-28 00:18:37,74.8 nAVAX,75.3 nAVAX,76.8 nAVAX,1201 Txns,18 Txns,45.32%
2022-03-28 00:18:55,76.6 nAVAX,76.6 nAVAX,79.1 nAVAX,1210 Txns,27 Txns,45.44%
2022-03-28 00:19:14,74.6 nAVAX,75.1 nAVAX,75.6 nAVAX,1227 Txns,22 Txns,45.43%
2022-03-28 00:19:33,73.5 nAVAX,73.5 nAVAX,74 nAVAX,1238 Txns,18 Txns,45.43%
2022-03-28 00:19:51,74.4 nAVAX,74.4 nAVAX,74.9 nAVAX,1116 Txns,38 Txns,45.44%
2022-03-28 00:20:09,74.5 nAVAX,75 nAVAX,75.5 nAVAX,1142 Txns,25 Txns,45.45%
2022-03-28 00:20:27,77.2 nAVAX,77.8 nAVAX,78.3 nAVAX,1126 Txns,24 Txns,45.47%
2022-03-28 00:20:45,74.6 nAVAX,75.1 nAVAX,75.6 nAVAX,1126 Txns,24 Txns,45.44%
2022-03-28 00:21:04,73 nAVAX,74 nAVAX,74.5 nAVAX,1130 Txns,20 Txns,45.42%
2022-03-28 00:21:22,73.5 nAVAX,73.8 nAVAX,75.3 nAVAX,1130 Txns,19 Txns,45.43%
2022-03-28 00:21:40,73.7 nAVAX,74 nAVAX,75.5 nAVAX,1142 Txns,18 Txns,45.59%
2022-03-28 00:21:58,74.9 nAVAX,74.9 nAVAX,75.9 nAVAX,1153 Txns,18 Txns,45.59%
2022-03-28 00:22:17,72.8 nAVAX,73.7 nAVAX,74.8 nAVAX,1158 Txns,20 Txns,45.59%
2022-03-28 00:22:35,75.5 nAVAX,76 nAVAX,76.5 nAVAX,1160 Txns,21 Txns,45.60%
2022-03-28 00:22:53,72.7 nAVAX,73.7 nAVAX,74.2 nAVAX,1153 Txns,20 Txns,45.56%
2022-03-28 00:23:12,74.7 nAVAX,74.7 nAVAX,75.2 nAVAX,1161 Txns,31 Txns,45.59%
2022-03-28 00:23:30,75.3 nAVAX,75.3 nAVAX,76.8 nAVAX,1142 Txns,18 Txns,45.59%
2022-03-28 00:23:48,77.6 nAVAX,77.6 nAVAX,79.1 nAVAX,1175 Txns,22 Txns,45.60%
2022-03-28 00:24:07,76 nAVAX,76 nAVAX,76.5 nAVAX,1183 Txns,22 Txns,45.59%
